pct,probability,available,distance,price,stars,construction,events,congestion,hazards
41.0,83.0,61.0,843.0,3.0,-1.0,2,0,5,0
53.0,71.0,15.0,848.0,1.0,-1.0,0,0,5,0
40.0,84.0,34.0,905.0,3.0,-1.0,2,0,5,0
36.0,87.0,569.0,946.0,3.0,1.0,6,0,0,0
42.0,82.0,14.0,916.0,0.0,-1.0,10,0,0,0
27.0,92.0,43.0,909.0,3.0,-1.0,10,0,0,0
31.0,90.0,109.0,643.0,3.0,3.0,16,0,0,0
32.0,89.0,19.0,687.0,4.0,-1.0,16,0,0,0
30.0,91.0,7.0,697.0,1.0,-1.0,16,0,0,0
32.0,89.0,34.0,442.0,-1.0,-1.0,8,0,0,0
43.0,81.0,13.0,446.0,1.0,-1.0,8,0,0,0
38.0,85.0,50.0,332.0,3.0,1.0,8,0,0,0
29.0,91.0,55.0,923.0,1.0,3.0,12,0,0,0
31.0,90.0,8.0,917.0,1.0,-1.0,12,0,0,0
30.0,91.0,72.0,752.0,2.0,-1.0,14,0,0,0
30.0,91.0,14.0,769.0,2.0,1.0,14,0,0,0
32.0,89.0,25.0,776.0,2.0,1.5,14,0,0,0
33.0,89.0,22.0,789.0,3.0,3.6666666666666665,14,0,0,0
35.0,87.0,29.0,328.0,3.0,-1.0,10,0,0,0
38.0,85.0,248.0,267.0,3.0,3.1666666666666665,8,0,0,0
36.0,87.0,35.0,412.0,0.0,-1.0,6,0,0,0
55.0,69.0,51.0,783.0,1.0,-1.0,6,0,0,0
36.0,87.0,110.0,853.0,4.0,4.0,10,0,0,0
55.0,69.0,18.0,673.0,-1.0,-1.0,6,0,0,0
35.0,87.0,45.0,853.0,3.0,-1.0,10,0,0,0
39.0,84.0,7.0,885.0,1.0,-1.0,10,0,0,0
26.0,93.0,75.0,874.0,2.0,-1.0,14,0,0,0
38.0,85.0,46.0,961.0,2.0,-1.0,2,0,0,0
19.0,96.0,8.0,789.0,0.0,-1.0,14,0,0,0
23.0,94.0,25.0,837.0,0.0,-1.0,14,0,0,0
31.0,90.0,28.0,970.0,2.0,-1.0,8,0,0,0
32.0,89.0,7.0,987.0,4.0,-1.0,8,0,0,0
